Time	RFU(A01)	RFU(A02)	RFU(A03)	RFU(A04)	RFU(A05)	RFU(A06)	RFU(A07)	RFU(A08)	RFU(A09)	RFU(A10)	RFU(A11)	RFU(A12)	C	PlateId	RunProfileEntryIndex	RunNumber	Row
270.97							0.790200							2021-01-07_9776	1	1	A
271.09							0.865600							2021-01-07_9776	1	1	A
271.21							0.953300							2021-01-07_9776	1	1	A
271.32							1.056800							2021-01-07_9776	1	1	A
271.44							1.184600							2021-01-07_9776	1	1	A
271.56							1.338200							2021-01-07_9776	1	1	A
271.67							1.509400							2021-01-07_9776	1	1	A
271.79							1.682400							2021-01-07_9776	1	1	A
271.91							1.837700							2021-01-07_9776	1	1	A
272.03							1.971700							2021-01-07_9776	1	1	A
272.14							2.123000							2021-01-07_9776	1	1	A
272.26							2.385600							2021-01-07_9776	1	1	A
272.38							2.855000							2021-01-07_9776	1	1	A
272.49							3.571600							2021-01-07_9776	1	1	A
272.61							4.488100							2021-01-07_9776	1	1	A
272.73							5.467100							2021-01-07_9776	1	1	A
272.84							6.346800							2021-01-07_9776	1	1	A
272.96							7.006700							2021-01-07_9776	1	1	A
273.08							7.390600							2021-01-07_9776	1	1	A
273.20							7.494100							2021-01-07_9776	1	1	A
273.31							7.352100							2021-01-07_9776	1	1	A
273.43							7.017100							2021-01-07_9776	1	1	A
273.55							6.547100							2021-01-07_9776	1	1	A
273.66							5.993200							2021-01-07_9776	1	1	A
273.78							5.391000							2021-01-07_9776	1	1	A
273.90							4.766700							2021-01-07_9776	1	1	A
274.01							4.141100							2021-01-07_9776	1	1	A
274.13							3.533100							2021-01-07_9776	1	1	A
274.25							2.962300							2021-01-07_9776	1	1	A
274.37							2.447700							2021-01-07_9776	1	1	A
274.48							2.005700							2021-01-07_9776	1	1	A
274.60							1.643300							2021-01-07_9776	1	1	A
274.72							1.355800							2021-01-07_9776	1	1	A
274.83							1.130600							2021-01-07_9776	1	1	A
274.95							0.955000							2021-01-07_9776	1	1	A
275.07							0.819600							2021-01-07_9776	1	1	A
275.18							0.718800							2021-01-07_9776	1	1	A
275.30							0.646900							2021-01-07_9776	1	1	A
275.42							0.596100							2021-01-07_9776	1	1	A
275.54							0.560300							2021-01-07_9776	1	1	A
275.65							0.534400							2021-01-07_9776	1	1	A
275.77							0.514200							2021-01-07_9776	1	1	A
275.89							0.497200							2021-01-07_9776	1	1	A
276.00							0.482900							2021-01-07_9776	1	1	A
276.12							0.472000							2021-01-07_9776	1	1	A
276.24							0.465600							2021-01-07_9776	1	1	A
276.35							0.466900							2021-01-07_9776	1	1	A
276.47							0.474600							2021-01-07_9776	1	1	A
276.59							0.483900							2021-01-07_9776	1	1	A
276.71							0.493300							2021-01-07_9776	1	1	A
276.82							0.503400							2021-01-07_9776	1	1	A
276.94							0.513600							2021-01-07_9776	1	1	A
277.06							0.519400							2021-01-07_9776	1	1	A
277.17							0.517000							2021-01-07_9776	1	1	A
277.29							0.507100							2021-01-07_9776	1	1	A
277.41							0.493100							2021-01-07_9776	1	1	A
277.52							0.479800							2021-01-07_9776	1	1	A
277.64							0.469300							2021-01-07_9776	1	1	A
277.76							0.460000							2021-01-07_9776	1	1	A
277.88							0.452000							2021-01-07_9776	1	1	A
277.99							0.444800							2021-01-07_9776	1	1	A
278.11							0.438000							2021-01-07_9776	1	1	A
278.23							0.432500							2021-01-07_9776	1	1	A
278.34							0.426600							2021-01-07_9776	1	1	A
278.46							0.420600							2021-01-07_9776	1	1	A
278.58							0.416600							2021-01-07_9776	1	1	A
278.69							0.415900							2021-01-07_9776	1	1	A
278.81							0.418500							2021-01-07_9776	1	1	A
278.93							0.422200							2021-01-07_9776	1	1	A
279.05							0.424800							2021-01-07_9776	1	1	A
279.16							0.425200							2021-01-07_9776	1	1	A
279.28							0.423800							2021-01-07_9776	1	1	A
279.40							0.422100							2021-01-07_9776	1	1	A
279.51							0.424100							2021-01-07_9776	1	1	A
279.63							0.432800							2021-01-07_9776	1	1	A
279.75							0.445000							2021-01-07_9776	1	1	A
279.86							0.456400							2021-01-07_9776	1	1	A
279.98							0.465100							2021-01-07_9776	1	1	A
280.10							0.471200							2021-01-07_9776	1	1	A
280.22							0.476700							2021-01-07_9776	1	1	A
280.33							0.483900							2021-01-07_9776	1	1	A
280.45							0.494000							2021-01-07_9776	1	1	A
280.57							0.507100							2021-01-07_9776	1	1	A
280.68							0.520800							2021-01-07_9776	1	1	A
280.80							0.533100							2021-01-07_9776	1	1	A
280.92							0.547700							2021-01-07_9776	1	1	A
281.03							0.568900							2021-01-07_9776	1	1	A
281.15							0.598500							2021-01-07_9776	1	1	A
281.27							0.641200							2021-01-07_9776	1	1	A
281.39							0.702400							2021-01-07_9776	1	1	A
281.50							0.789300							2021-01-07_9776	1	1	A
281.62							0.904300							2021-01-07_9776	1	1	A
281.74							1.041800							2021-01-07_9776	1	1	A
281.85							1.192400							2021-01-07_9776	1	1	A
281.97							1.352500							2021-01-07_9776	1	1	A
282.09							1.533600							2021-01-07_9776	1	1	A
282.20							1.757200							2021-01-07_9776	1	1	A
282.32							2.038400							2021-01-07_9776	1	1	A
282.44							2.366000							2021-01-07_9776	1	1	A
282.56							2.705200							2021-01-07_9776	1	1	A
282.67							3.014600							2021-01-07_9776	1	1	A
282.79							3.266800							2021-01-07_9776	1	1	A
282.91							3.459700							2021-01-07_9776	1	1	A
283.02							3.621600							2021-01-07_9776	1	1	A
283.14							3.803800							2021-01-07_9776	1	1	A
283.26							4.063900							2021-01-07_9776	1	1	A
283.37							4.420900							2021-01-07_9776	1	1	A
283.49							4.839600							2021-01-07_9776	1	1	A
283.61							5.250900							2021-01-07_9776	1	1	A
283.73							5.588500							2021-01-07_9776	1	1	A
283.84							5.808400							2021-01-07_9776	1	1	A
283.96							5.894700							2021-01-07_9776	1	1	A
284.08							5.855400							2021-01-07_9776	1	1	A
284.19							5.714200							2021-01-07_9776	1	1	A
284.31							5.494400							2021-01-07_9776	1	1	A
284.43							5.209100							2021-01-07_9776	1	1	A
284.54							4.875400							2021-01-07_9776	1	1	A
284.66							4.513400							2021-01-07_9776	1	1	A
284.78							4.135500							2021-01-07_9776	1	1	A
284.90							3.754000							2021-01-07_9776	1	1	A
285.01							3.379500							2021-01-07_9776	1	1	A
285.13							3.024600							2021-01-07_9776	1	1	A
285.25							2.701900							2021-01-07_9776	1	1	A
285.36							2.413400							2021-01-07_9776	1	1	A
285.48							2.155200							2021-01-07_9776	1	1	A
285.60							1.923000							2021-01-07_9776	1	1	A
285.71							1.716500							2021-01-07_9776	1	1	A
285.83							1.534900							2021-01-07_9776	1	1	A
285.95							1.372800							2021-01-07_9776	1	1	A
286.07							1.227000							2021-01-07_9776	1	1	A
286.18							1.098500							2021-01-07_9776	1	1	A
286.30							0.989700							2021-01-07_9776	1	1	A
286.42							0.899000							2021-01-07_9776	1	1	A
286.53							0.822000							2021-01-07_9776	1	1	A
286.65							0.754700							2021-01-07_9776	1	1	A
286.77							0.695100							2021-01-07_9776	1	1	A
286.88							0.644200							2021-01-07_9776	1	1	A
287.00							0.602200							2021-01-07_9776	1	1	A
287.12							0.566400							2021-01-07_9776	1	1	A
287.24							0.535700							2021-01-07_9776	1	1	A
287.35							0.509200							2021-01-07_9776	1	1	A
287.47							0.484600							2021-01-07_9776	1	1	A
287.59							0.460200							2021-01-07_9776	1	1	A
287.70							0.436700							2021-01-07_9776	1	1	A
287.82							0.416600							2021-01-07_9776	1	1	A
287.94							0.402800							2021-01-07_9776	1	1	A
288.05							0.396800							2021-01-07_9776	1	1	A
288.17							0.395800							2021-01-07_9776	1	1	A
288.29							0.396300							2021-01-07_9776	1	1	A
288.41							0.396800							2021-01-07_9776	1	1	A
288.52							0.397500							2021-01-07_9776	1	1	A
